Title,Lyrics,Sentiment Score,Sentiment Category
Blinding Lights,"Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh

The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch",0.03214285714285713,Positive
Starboy,"Ayy

I'm tryna put you in the worst mood, ah
P1 cleaner than your church shoes, ah
Milli point two just to hurt you, ah
All red Lamb' just to tease you, ah
None of these toys on lease too, ah
Made your whole year in a week too, yah
Main bitch outta your league too, ah
Side bitch outta your league too, ah

House so empty, need a centerpiece
Twenty racks a table, cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face, man, I love my baby, ah
You talkin' money, need a hearin' aid
You talkin' 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy

Every day, a nigga try to test me, ah
Every day, a nigga try to end me, ah
Pull off in that Roadster SV, ah
Pockets overweight, gettin' hefty, ah
Comin' for the king, that's a far cry, I
I come alive in the fall time, I
The competition, I don't really listen
I'm in the blue Mulsanne, bumpin' New Edition

House so empty, need a centerpiece
Twenty racks a table, cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face, man, I love my baby, ah
You talkin' money, need a hearin' aid
You talkin' 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy

Let a nigga brag Pitt
Legend of the fall, took the year like a bandit
Bought Mama a crib and a brand new wagon
Now she hit the grocery shop lookin' lavish
Star Trek roof in that Wraith of Khan
Girls get loose when they hear this song
A hundred on the dash get me close to God
We don't pray for love, we just pray for cars

House so empty, need a centerpiece
Twenty racks a table, cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face, man, I love my baby, ah
You talkin' money, need a hearin' aid
You talkin' 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy",0.13154623154623155,Positive
Die For You,"I'm findin' ways to articulate the feelin' I'm goin' through
I just can't say I don't love you (Yeah)
'Cause I love you, yeah
It's hard for me to communicate the thoughts that I hold
But tonight, I'm gon' let you know
Let me tell the truth
Baby, let me tell the truth, yeah

You know what I'm thinkin', see it in your eyes
You hate that you want me, hate it when you cry
You're scared to be lonely, 'specially in the night
I'm scared that I'll miss you, happens every time
I don't want this feelin', I can't afford love
I try to find a reason to pull us apart
It ain't workin' 'cause you're perfect
And I know that you're worth it
I can't walk away, oh

Even though we're goin' through it
And it makes you feel alone
Just know that I would die for you
Baby, I would die for you, yeah
The distance and the time between us
It'll never change my mind 'cause
Baby, I would die for you
Baby, I would die for you, yeah (Say)

I'm findin' ways to manipulate the feelin' you're goin' through
But, baby girl, I'm not blamin' you
Just don't blame me, too, yeah
'Cause I can't take this pain forever
And you won't find no one that's better
'Cause I'm right for you, babe
I think I'm right for you, babe

You know what I'm thinkin', see it in your eyes
You hate that you want me, hate it when you cry
It ain't workin' 'cause you're perfect
And I know that you're worth it
I can't walk away, oh

Even though we're goin' through it
And it makes you feel alone
Just know that I would die for you
Baby, I would die for you, yeah
The distance and the time between us
It'll never change my mind 'cause
Baby, I would die for you, uh
Baby, I would die for you, yeah

I would die for you, I would lie for you
Keep it real with you, I would kill for you, my baby
I'm just sayin', yeah
I would die for you, I would lie for you
Keep it real with you, I would kill for you, my baby
Na-na-na, na-na-na, na-na-na

Even though we're goin' through it
And it makes you feel alone
Just know that I would die for you
Baby, I would die for you, yeah
The distance and the time between us
It'll never change my mind 'cause
Baby, I would die for you
Baby, I would die for you, yeah (Oh, babe)

(Die for you)",0.12299498746867166,Positive
The Hills,"Yeah
Yeah
Yeah

Your man on the road, he doin' promo
You said, ""Keep our business on the low-low""
I'm just tryna get you out the friend zone
'Cause you look even better than the photos
I can't find your house, send me the info
Drivin' through the gated residential
Found out I was comin', sent your friends home
Keep on tryna hide it, but your friends know

I only call you when it's half-past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half-past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

I'ma let you know and keep it simple
Tryna keep it up don't seem so simple
I just fucked two bitches 'fore I saw you
And you gon' have to do it at my tempo
Always tryna send me off to rehab
Drugs started feelin' like it's decaf
I'm just tryna live life for the moment
And all these motherfuckers want a relapse

I only call you when it's half-past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half-past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

Hills have eyes, the hills have eyes
Who are you to judge? Who are you to judge?
Hide your lies, girl, hide your lies (Hide your lies, oh, baby)
Only you to trust, only you

I only call you when it's half-past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half-past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

Ewedihalehu
Yene konjo, ewedihalehu
Yene fikir, fikir, fikir, fikir
Yene fikir, fikir, fikir, fikir
Ewedihalehu
Yene konjo, ewedihalehu...",-0.032066115702479324,Negative
Save Your Tears,"Ooh
Na-na, yeah

I saw you dancing in a crowded room (Uh)
You look so happy when I'm not with you
But then you saw me, caught you by surprise
A single teardrop falling from your eye

I don't know why I run away
I make you cry when I run away

You could've asked me why I broke your heart
You could've told me that you fell apart
But you walked past me like I wasn't there
And just pretended like you didn't care

I don't know why I run away
I make you cry when I run away

Take me back 'cause I wanna stay
Save your tears for another

Save your tears for another day
Save your tears for another day (So)

I made you think that I would always stay
I said some things that I should never say
Yeah, I broke your heart like someone did to mine
And now you won't love me for a second time

I don't know why I run away, oh, girl
Said, I make you cry when I run away

Girl, take me back 'cause I wanna stay
Save your tears for another
I realize that I'm much too late
And you deserve someone better

Save your tears for another day (Oh yeah)
Save your tears for another day (Yeah)

I don't know why I run away
I'll make you cry when I run away

Save your tears for another day
Ooh, girl, I said (Ah)
Save your tears for another day (Ah)

Save your tears for another day (Ah)
Save your tears for another day (Ah)",0.13785714285714284,Positive
Call Out My Name,"We found each other
I helped you out of a broken place
You gave me comfort
But falling for you was my mistake

I put you on top, I put you on top
I claimed you so proud and openly
And when times were rough, when times were rough
I made sure I held you close to me

So call out my name (Call out my name)
Call out my name when I kiss you so gently
I want you to stay (Want you to stay)
I want you to stay even though you don't want me
Girl, why can't you wait? (Why can't you wait, baby?)
Girl, why can't you wait 'til I fall out of love?
Won't you call out my name? (Call out my name)
Girl, call out my name, and I'll be on my way and
I'll be on my—

I said I didn't feel nothing, baby, but I lied
I almost cut a piece of myself for your life
Guess I was just another pit stop
'Til you made up your mind
You just wasted my time

You were on top, I put you on top
I claimed you so proud and openly, babe
And when times were rough, when times were rough
I made sure I held you close to me

So c
all out 
my
 na
me
 (Call out my name, baby)
So call out my name when I kiss you so gently (Ohh)
I want you to stay (I want you to stay)
I want you to stay even though you don't want me
Girl, why can't you wait? (Girl, why can't you wait 'til I?)
Girl, why can't you wait 'til I fall out of loving?
Babe, call out my name (Say call out my name, baby)
Girl call out my name and I'll be on my way
And, I'll be on my—

On my way, on my way
On my way, on my way, ooh
On my way, on my way, on my way
On my way, on my way, on my way
(On my)",0.23690476190476184,Positive
I Feel It Coming,"Yeah, ah

Tell me what you really like
Baby, I can take my time
We don't ever have to fight
Just take it step-by-step
I can see it in your eyes
'Cause they never tell me lies
I can feel that body shake
And the heat between your legs

You've been scared of love and what it did to you
You don't have to run, I know what you've been through
Just a simple touch and it could set you free
We don't have to rush when you're alone with me

I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe

You are not the single type
So, baby, this the perfect time
I'm just tryna get you high (I'm just tryin', babe)
And faded off this touch
You don't need a lonely night
So, baby, I can make it right
You just gotta let me try (Try)
To give you what you want

You've been scared of love and what it did to you
You don't have to run, I know what you've been through
Just a simple touch and it could set you free
We don't have to rush when you're alone with me
[Chorus: The Weeknd & 
Daft Punk
]
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe

Uh, you've been scared of love and what it did to you
You don't have to run, I know what you've been through
Just a simple touch and it could set you free
We don't have to rush when you're alone with me

I feel it comin' (
I feel it comin'
)
I feel it comin', babe (
I feel it comin', babe
)
I feel it comin' (
I feel it comin'
)
I feel it comin', babe (I know what you feel right now)
I feel it comin' (I feel it comin')
I feel it comin', babe (I feel it comin', baby)
I feel it comin' (I feel it comin')
I feel it comin', babe (I know what you say right now, babe)
I feel it comin' (Na-na-na, na-na-na, na-na-na; 
I feel it comin'
)
I feel it comin', babe (
I feel it comin', babe
; oh, babe)
I feel it comin' (
I feel it comin'
)
I feel it comin', babe (I know what you say right now)
I feel it comin' (Na-na-na, na-na-na, na-na-na; I feel it comin')
I feel it comin', babe (I feel it comin', baby)
I feel it comin' (I feel it comin')
I feel it comin', babe

I feel it comin', babe
I feel it comin', babe
I feel it comin', babe
I feel it comin', babe",0.2795238095238095,Positive
Can't Feel My Face,"And I know she'll be the death of me
At least we'll both be numb
And she'll always get the best of me
The worst is yet to come
But at least we'll both be beautiful
And stay forever young
This I know, uh
This I know

She told me, ""Don't worry
About it""
She told me, ""Don't worry
No more""
We both know we can't go
Without it
She told me, ""You'll never
Be alo-oh-oh-ooh""

I can't feel my face when I'm with you
But I love it
But I love it, oh
I can't feel my face when I'm with you
But I love it
But I love it, oh

And I know she'll be the death of me
At least we'll both be numb
And she'll always get the best of me
The worst is yet to come
All the misery was necessary
When we're deep in love
This I know, this I know (Girl)
Girl, I know, uh

She told me, ""Don't worry
About it""
She told me, ""Don't worry
No more""
We both know we can't go
Without it
She told me, ""You'll never
Be alo-oh-oh-ooh""

I can't feel my face when I'm with you
But I love it
But I love it, oh
I can't feel my face when I'm with
You (I can't feel my face)
But I love it (But I love it)
But I love it (I can't feel my face), oh
I can't feel my face when I'm with you (When I'm with you)
But I love it (But I love it, yeah)
But I love it (But I love it), oh
(I can't feel my face) I can't feel my face when I'm with (When I'm with you) you
But I love it (But I love it)
But I love it (Girl, I love it), oh

Oh
Oh-oh
Ooh-ooh

She told me, ""Don't worry
About it""
She told me, ""Don't worry
No more""
We both know we can't go (Can't go)
Without it
She told me, ""You'll never
Be alo-oh-oh—
Ooh""

I can't feel my face when I'm with you (I can't feel my face, girl)
But I love it (But I love it, yeah)
But I love it (Oh, I love it, yeah) oh
I can't feel my face when I'm with
You (Said, I can't feel my face)
But I love it (But I love it)
But I love it (Girl, I love it), oh
(I can't feel my face) I can't feel my face when I'm with
(When I'm with you) you
But I love it (Know I love it, girl)
But I love it (Don't you think I do?), oh
(I can't feel my face) I can't feel my face when I'm with
(When I'm with you) you (I can't feel my face, girl)
But I love it (When I'm with you, baby)
But I love it (Said, when I'm with you, baby), oh
I can't feel my fa—

Uh
Hey!",0.29202127659574467,Positive
Earned It (Fifty Shades Of Grey),"I'ma care for you
I'ma care for you, you, you, you

You make it look like it's magic (Oh yeah)
'Cause I see nobody, nobody but you, you, you
I'm never confused
Hey, hey
I'm so used to bein' used

So I love when you call unexpected
'Cause I hate when the moment's expected
So I'ma care for you, you, you
I'ma care for you, you, you, you, yeah

'Cause girl, you're perfect
You're always worth it
And you deserve it
The way you work it
'Cause girl, you earned it, yeah
Girl, you earned it, yeah

You know our love would be tragic (Oh yeah)
So you don't pay it, don't pay it no mind, mind, mind
We live with no lies
Hey, hey
You're my favorite kind of night

So I love when you call unexpected
'Cause I hate when the moment's expected
So I'ma care for you, you, you
I'ma care for you, you, you, you, yeah

'Cause girl, you're perfect (Girl, you're perfect)
You're always worth it (Always worth it)
And you deserve it (And you deserve it)
The way you work it (The way you work it)
'Cause girl, you earned it, yeah (Earned it)
Girl, you earned it, yeah

On that lonely night (Lonely night)
We said it wouldn't be love
But we felt the rush (Fell in love)
It made us believe it was only us (Only us)
Convinced we were broken inside, yeah, inside, yeah

'Cause girl, you're perfect (Girl, you're perfect)
You're always worth it (You're always worth it)
And you deserve it (And you deserve it)
The way you work it (The way you work it)
'Cause girl, you earned it, yeah (You earned it)
Girl, you earned it, yeah (You earned it)

Na-na-na-na-na
Oh-oh-oh
Yeah, yeah
'Cause girl, you're perfect
The way you work it
You deserve it
Girl, you deserve it
Girl, you earned it, yeah, yeah",0.27231404958677685,Positive
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,No Lyrics Found,,
